GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US270030501071,270030501071,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",2723,147
1500000US270030501081,270030501081,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",3786,277
1500000US270030501082,270030501082,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",1433,268
1500000US270030501091,270030501091,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",1735,324
1500000US270030501092,270030501092,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",1124,208
1500000US270030501093,270030501093,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",1128,241
1500000US270030501094,270030501094,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",1293,214
1500000US270030501101,270030501101,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",1306,143
1500000US270030501102,270030501102,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",1347,156
1500000US270030501111,270030501111,"Block Group 1, Census Tract 501.11, Anoka County, Minnesota",1553,243
1500000US270030501112,270030501112,"Block Group 2, Census Tract 501.11, Anoka County, Minnesota",1800,261
1500000US270030501113,270030501113,"Block Group 3, Census Tract 501.11, Anoka County, Minnesota",447,157
1500000US270030501141,270030501141,"Block Group 1, Census Tract 501.14, Anoka County, Minnesota",1695,164
1500000US270030501142,270030501142,"Block Group 2, Census Tract 501.14, Anoka County, Minnesota",1277,145
1500000US270030501151,270030501151,"Block Group 1, Census Tract 501.15, Anoka County, Minnesota",1080,206
1500000US270030501152,270030501152,"Block Group 2, Census Tract 501.15, Anoka County, Minnesota",1809,253
1500000US270030501153,270030501153,"Block Group 3, Census Tract 501.15, Anoka County, Minnesota",1070,191
1500000US270030501154,270030501154,"Block Group 4, Census Tract 501.15, Anoka County, Minnesota",1522,242
1500000US270030501161,270030501161,"Block Group 1, Census Tract 501.16, Anoka County, Minnesota",1595,265
1500000US270030501162,270030501162,"Block Group 2, Census Tract 501.16, Anoka County, Minnesota",1494,226
1500000US270030501163,270030501163,"Block Group 3, Census Tract 501.16, Anoka County, Minnesota",1523,238
1500000US270030502081,270030502081,"Block Group 1, Census Tract 502.08, Anoka County, Minnesota",1621,285
1500000US270030502082,270030502082,"Block Group 2, Census Tract 502.08, Anoka County, Minnesota",1730,241
1500000US270030502101,270030502101,"Block Group 1, Census Tract 502.10, Anoka County, Minnesota",1122,198
1500000US270030502102,270030502102,"Block Group 2, Census Tract 502.10, Anoka County, Minnesota",1150,213
1500000US270030502103,270030502103,"Block Group 3, Census Tract 502.10, Anoka County, Minnesota",883,156
1500000US270030502104,270030502104,"Block Group 4, Census Tract 502.10, Anoka County, Minnesota",854,186
1500000US270030502151,270030502151,"Block Group 1, Census Tract 502.15, Anoka County, Minnesota",2449,237
1500000US270030502152,270030502152,"Block Group 2, Census Tract 502.15, Anoka County, Minnesota",1859,272
